ID,hl,hl_linker1,hl_linker2,hl_linker3,hl_linker4,lh,lh_linker1,lh_linker2,lh_linker3,lh_linker4,Separate
7tqg,79.49620401854713,76.29040971168436,74.98235767511177,73.82879733414117,78.95385928143713,80.62362596599692,77.50438543247344,74.36041728763041,75.9444168433808,79.1035508982036,84.1316027351312
5awn,75.67367278287463,75.09101501501502,73.1866017699115,75.19939448441248,77.24586666666667,75.50112232415903,71.6424984984985,71.7314808259587,70.14682254196643,72.0843525925926,80.84584517967602
6wos,81.34926927860697,75.74306166056166,73.86234112709833,71.32682205971969,78.87780788919001,79.48771144278606,77.73264652014652,78.80800959232613,77.31614564290068,79.18140620295092,84.61799563532784
3aaz,80.6758853721129,76.7472301654051,76.96082437275984,75.15874335292472,79.11280730897009,81.15900484744796,78.65183067003083,76.70180590019298,79.30417016512735,79.7540891472868,84.57340978763844
5it2,81.79267554479419,77.60884066587397,78.03161799065421,77.50397329376854,80.18231446171899,81.67040254237288,78.47783590963141,79.24908586448598,78.92997032640947,81.1448811968319,85.80210775298697
5ezj,81.7033745103947,75.56656407221071,75.0603663855772,73.9686883308715,80.04865362149533,80.58623681831878,76.59245930748743,79.25957836580402,73.9398375184638,77.23134053738318,85.76746748111249
7wvi,81.19719070609536,76.87669235328985,78.37760337798485,75.14842011834318,81.07980111143608,81.74337658418827,78.16414937759335,78.4302329644729,76.30281065088758,80.21941210880375,86.41197200545479
4nwu,80.00188405797101,78.25852136752138,76.04826610644258,74.80133390216155,78.47223628691982,79.15844927536233,78.01186894586895,78.72561904761903,78.12243742889648,77.87065541490858,83.69926552440002
8ekh,81.70504142766093,78.58979987492182,76.48186617556783,78.00798689138577,80.18022510021584,80.62169853409816,78.69658536585365,77.03819828115408,78.50138264669164,80.17853222325007,85.50099517676512
6p9i,78.14121800801726,74.6802391765062,74.49794528694619,71.52549108491992,75.36033452807645,77.96524514338576,73.65072661217076,74.92310437109724,73.85259897249925,76.16620967741936,82.71361205253729
4r7n,83.18109052247874,81.81952267303103,79.69362543962487,78.33470518165575,82.403776861937,82.55118165249088,80.00973150357996,78.7956652989449,79.4610244192972,82.08208419193404,86.99640265650868
5n2k,82.93354160125587,79.87692449922959,78.13553101361573,79.96508766533374,82.58165349544073,83.300715855573,80.0135439137134,78.7763298033283,78.40742233159027,80.17282674772036,85.70303727040206
4r7d,80.79750237416904,75.48355700528114,77.7968252516011,75.61103255813954,79.79079656862744,79.66816081038303,77.15394532463499,78.06980786825251,77.08299224806203,77.76908394607842,84.89625983588603
6pzg,83.0374855929633,79.46760500446827,79.42084869768804,79.47613440380613,81.23296296296297,82.402635729451,80.52280011915401,80.56803921568627,78.41672613737734,81.88684891240447,87.15429399391022
